"id","after"
"0_0","Another"
"0_1","religious"
"0_2","family"
"0_3","is"
"0_4","of"
"0_5","Hazrat"
"0_6","Sayyed"
"0_7","Ahmad"
"0_8","and"
"0_9","his"
"0_10","nephew"
"0_11","Hazrat"
"0_12","Abdul"
"0_13","Haq"
"0_14","."
"1_0","The"
"1_1","free"
"1_2","webapp"
"1_3","functionality"
"1_4","contains"
"1_5","advertisements"
"1_6","geared"
"1_7","to"
"1_8","small"
"1_9","businesses"
"1_10","."
"2_0","Kuklick"
"2_1",","
"2_2","p"
"2_3","."
"2_4","seventy-five"
"2_5","Kuklick"
"2_6",","
"2_7","p"
"2_8","."
"2_9","seventy-six"
"2_10","Westcott"
"2_11",","
"2_12","p"
"2_13","."
"2_14","one hundred and twenty-four"
"2_15","Kuklick"
"2_16",","
"2_17","pp"
"2_18","."
"3_0",""""
"3_1","two thousand and ten"
"3_2","FINA"
"3_3","World"
"3_4","Swimming"
"3_5","Championships"
"3_6","("
"3_7","twenty-five m"
"3_8",")"
"3_9","-"
"3_10","Women's"
"3_11","two hundred"
"3_12","metre"
"3_13","freestyle"
"3_14","("
"3_15","final"
"3_16",")"
"3_17",""""
"3_18","."
"4_0","In"
"4_1","two"
"4_2","D"
"4_3","the"
"4_4","symmetry"
"4_5","group"
"4_6","Dn"
"4_7","includes"
"4_8","reflections"
"4_9","in"
"4_10","lines"
"4_11","."
"5_0","The"
"5_1","museum's"
"5_2","exhibition"
"5_3","hall"
"5_4","occupies"
"5_5","three thousand, four hundred"
"5_6","square"
"5_7","meters"
"5_8","("
"5_9","ten thousand, two hundred ft"
"5_10","two"
"5_11",")"
"5_12","and"
"5_13","its"
"5_14","library"
"5_15","contains"
"5_16","seven thousand"
"5_17","books"
"5_18","."
"6_0",""""
"6_1","Japanese"
"6_2","German"
"6_3","relations"
"6_4",","
"6_5","one thousand, eight hundred and ninety-five"
"6_6","-"
"6_7","one thousand, nine hundred and forty-five"
"6_8",""""
"6_9",","
"6_10","Christian"
"6_11","W."
"6_12","Spang"
"6_13",","
"6_14","Rolf"
"6_15","Harald"
"6_16","Wippich"
"6_17","."
"7_0","Pgs"
"7_1","one"
"7_2",","
"7_3","two"
"7_4","&"
"7_5","seven"
"7_6","."
"8_0","Of"
"8_1","note"
"8_2","is"
"8_3","her"
"8_4","young"
"8_5","adult"
"8_6","novel"
"8_7",","
"8_8","Patterson"
"8_9","Heights"
"8_10",","
"8_11","which"
"8_12","was"
"8_13","a"
"8_14","two thousand and ten"
"8_15","ALA"
"8_16","Pick"
"8_17","for"
"8_18","Reluctant"
"8_19","Readers"
"8_20","."
"9_0","Once"
"9_1","boiling"
"9_2",","
"9_3","remove"
"9_4","heat"
"9_5",","
"9_6","cover"
"9_7",","
"9_8","and"
"9_9","allow"
"9_10","to"
"9_11","cook"
"9_12","for"
"9_13","ten"
"9_14","minutes"
"9_15","."
"10_0","The"
"10_1","minor"
"10_2","planet"
"10_3","was"
"10_4","named"
"10_5","for"
"10_6","the"
"10_7","town"
"10_8","Seinajoki"
"10_9",","
"10_10","located"
"10_11","in"
"10_12","Southern"
"10_13","Ostrobothnia"
"10_14",","
"10_15","western"
"10_16","Finland"
"10_17","."
"11_0",""""
"11_1","Hot"
"11_2","Dog"
"11_3","Eating"
"11_4","Champ"
"11_5","Diagnosed"
"11_6","with"
"11_7","Arthritic"
"11_8","Jaw"
"11_9","."
"11_10",""""
"12_0","The"
"12_1","outhouse"
"12_2","is"
"12_3","surrounded"
"12_4","by"
"12_5","and"
"12_6","covered"
"12_7","in"
"12_8","ice"
"12_9",","
"12_10","perched"
"12_11","off"
"12_12","the"
"12_13","end"
"12_14","of"
"12_15","a"
"12_16","rock"
"12_17","."
"13_0","Including"
"13_1","access"
"13_2","to"
"13_3","government"
"13_4","services"
"13_5",","
"13_6","web"
"13_7","services"
"13_8","and"
"13_9","VPNs"
"13_10","."
"14_0","Grand"
"14_1","Master"
"14_2","Jong"
"14_3","Soo"
"14_4","Park"
"14_5",":"
"14_6","Biography"
"14_7","Retrieved"
"14_8","on"
"14_9","twenty-two February two thousand and nine"
"14_10","."
"15_0","Birsa"
"15_1","Munda"
"15_2","Athletics"
"15_3","Stadium"
"15_4","is"
"15_5","a"
"15_6","stadium"
"15_7","in"
"15_8","Ranchi"
"15_9",","
"15_10","India"
"15_11","."
"16_0","The"
"16_1","trophies"
"16_2","each"
"16_3","took"
"16_4","between"
"16_5","three"
"16_6","to"
"16_7","four"
"16_8","weeks"
"16_9","to"
"16_10","produce"
"16_11",","
"16_12","and"
"16_13","weighed"
"16_14","8.5"
"16_15","pounds"
"16_16","("
"16_17","3.9 kilograms"
"16_18",")"
"16_19","."
"17_0","He"
"17_1","has"
"17_2","done"
"17_3","matriculation"
"17_4","."
"18_0","Robert"
"18_1","Seymour"
"18_2","("
"18_3","california"
"18_4","."
"19_0","Edifici"
"19_1","Grupo"
"19_2","Godo"
"19_3","is"
"19_4","a"
"19_5","skyscraper"
"19_6","in"
"19_7","Barcelona"
"19_8",","
"19_9","Catalonia"
"19_10",","
"19_11","Spain"
"19_12","."
"20_0","On"
"20_1","May twenty two thousand and eight"
"20_2",","
"20_3","the"
"20_4","DOI"
"20_5","announced"
"20_6","that"
"20_7","it"
"20_8","would"
"20_9","take"
"20_10","thirteen thousand and four"
"20_11","acres"
"20_12","("
"20_13","52.63 square kilometers"
"20_14",")"
"20_15","into"
"20_16","trust"
"20_17","."
